leaf_size,n_neighbors,weights,mean_test_Accuracy,mean_test_Recall,mean_test_Recall_on_deceased
110,110,uniform,0.79497811,0.79497811,0.0
110,110,distance,0.77640404,0.77640404,0.01988464
110,130,uniform,0.79442447,0.79442447,0.0
110,130,distance,0.77715025,0.77715025,0.01962624
110,150,uniform,0.79390693,0.79390693,0.0
110,150,distance,0.77776708,0.77776708,0.01962624
110,170,uniform,0.79357595,0.79357595,0.0
110,170,distance,0.77823948,0.77823948,0.01962624
110,190,uniform,0.79327205,0.79327205,0.0
110,190,distance,0.77855843,0.77855843,0.01962624
130,10,uniform,0.78640268,0.78640268,0.01007252
130,10,distance,0.75788112,0.75788112,0.02737518
130,30,uniform,0.79466819,0.79466819,0.00490723
130,30,distance,0.76813552,0.76813552,0.02401834
130,50,uniform,0.79563405,0.79563405,0.0002584
130,50,distance,0.77231491,0.77231491,0.02298508
130,70,uniform,0.79574839,0.79574839,0.0
130,70,distance,0.77425266,0.77425266,0.02195149
130,90,uniform,0.79522183,0.79522183,0.0
130,90,distance,0.77559163,0.77559163,0.0206595
130,110,uniform,0.79497811,0.79497811,0.0
130,110,distance,0.77640404,0.77640404,0.01988464
130,130,uniform,0.79442447,0.79442447,0.0
130,130,distance,0.77715025,0.77715025,0.01962624
130,150,uniform,0.79390693,0.79390693,0.0
130,150,distance,0.77776708,0.77776708,0.01962624
130,170,uniform,0.79357595,0.79357595,0.0
130,170,distance,0.77823948,0.77823948,0.01962624
130,190,uniform,0.79327205,0.79327205,0.0
130,190,distance,0.77855843,0.77855843,0.01962624
150,10,uniform,0.78640268,0.78640268,0.01007252
150,10,distance,0.75788112,0.75788112,0.02737518
150,30,uniform,0.79466819,0.79466819,0.00490723
150,30,distance,0.76813552,0.76813552,0.02401834
150,50,uniform,0.79563405,0.79563405,0.0002584
150,50,distance,0.77231491,0.77231491,0.02298508
150,70,uniform,0.79574839,0.79574839,0.0
150,70,distance,0.77425266,0.77425266,0.02195149
150,90,uniform,0.79522183,0.79522183,0.0
150,90,distance,0.77559163,0.77559163,0.0206595
150,110,uniform,0.79497811,0.79497811,0.0
150,110,distance,0.77640404,0.77640404,0.01988464
150,130,uniform,0.79442447,0.79442447,0.0
150,130,distance,0.77715025,0.77715025,0.01962624
150,150,uniform,0.79390693,0.79390693,0.0
150,150,distance,0.77776708,0.77776708,0.01962624
150,170,uniform,0.79357595,0.79357595,0.0
150,170,distance,0.77823948,0.77823948,0.01962624
150,190,uniform,0.79327205,0.79327205,0.0
150,190,distance,0.77855843,0.77855843,0.01962624
170,10,uniform,0.78640268,0.78640268,0.01007252
170,10,distance,0.75788112,0.75788112,0.02737518
170,30,uniform,0.79466819,0.79466819,0.00490723
170,30,distance,0.76813552,0.76813552,0.02401834
170,50,uniform,0.79563405,0.79563405,0.0002584
170,50,distance,0.77231491,0.77231491,0.02298508
170,70,uniform,0.79574839,0.79574839,0.0
170,70,distance,0.77425266,0.77425266,0.02195149
170,90,uniform,0.79522183,0.79522183,0.0
170,90,distance,0.77559163,0.77559163,0.0206595
170,110,uniform,0.79497811,0.79497811,0.0
170,110,distance,0.77640404,0.77640404,0.01988464
170,130,uniform,0.79442447,0.79442447,0.0
170,130,distance,0.77715025,0.77715025,0.01962624
170,150,uniform,0.79390693,0.79390693,0.0
170,150,distance,0.77776708,0.77776708,0.01962624
170,170,uniform,0.79357595,0.79357595,0.0
170,170,distance,0.77823948,0.77823948,0.01962624
170,190,uniform,0.79327205,0.79327205,0.0
170,190,distance,0.77855843,0.77855843,0.01962624
190,10,uniform,0.78640268,0.78640268,0.01007252
190,10,distance,0.75788112,0.75788112,0.02737518
190,30,uniform,0.79466819,0.79466819,0.00490723
190,30,distance,0.76813552,0.76813552,0.02401834
190,50,uniform,0.79563405,0.79563405,0.0002584
190,50,distance,0.77231491,0.77231491,0.02298508
190,70,uniform,0.79574839,0.79574839,0.0
190,70,distance,0.77425266,0.77425266,0.02195149
190,90,uniform,0.79522183,0.79522183,0.0
190,90,distance,0.77559163,0.77559163,0.0206595
190,110,uniform,0.79497811,0.79497811,0.0
190,110,distance,0.77640404,0.77640404,0.01988464
190,130,uniform,0.79442447,0.79442447,0.0
190,130,distance,0.77715025,0.77715025,0.01962624
190,150,uniform,0.79390693,0.79390693,0.0
190,150,distance,0.77776708,0.77776708,0.01962624
190,170,uniform,0.79357595,0.79357595,0.0
190,170,distance,0.77823948,0.77823948,0.01962624
190,190,uniform,0.79327205,0.79327205,0.0
190,190,distance,0.77855843,0.77855843,0.01962624
