Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,Namibia,2020-09-20 04:22:56,-22.9576,18.4904,10292,111,7969,2212.0,Namibia,405.05077696389816,1.0785075787019045
,Nepal,2020-09-20 04:22:56,28.1667,84.25,62797,401,45267,17129.0,Nepal,215.5246381140996,0.6385655365702183
Aruba,Netherlands,2020-09-20 04:22:56,12.5211,-69.9683,3460,23,2128,1309.0,"Aruba, Netherlands",3240.7320682614313,0.6647398843930635
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-09-20 04:22:56,12.1784,-68.2385,36,1,17,18.0,"Bonaire, Sint Eustatius and Saba, Netherlands",137.294534914763,2.7777777777777777
Curacao,Netherlands,2020-09-20 04:22:56,12.1696,-68.99,247,1,88,158.0,"Curacao, Netherlands",150.51797684338817,0.4048582995951417
Drenthe,Netherlands,2020-09-20 04:22:56,52.862485,6.6184350000000025,722,41,0,681.0,"Drenthe, Netherlands",146.2479895965419,5.678670360110804
Flevoland,Netherlands,2020-09-20 04:22:56,52.550383,5.515162,1762,97,0,1665.0,"Flevoland, Netherlands",416.52778467262857,5.505107832009081
Friesland,Netherlands,2020-09-20 04:22:56,53.087337,5.7925,1011,69,0,942.0,"Friesland, Netherlands",155.54875168665004,6.824925816023739
Gelderland,Netherlands,2020-09-20 04:22:56,52.061738,5.939114,9126,692,0,8434.0,"Gelderland, Netherlands",437.4980824103335,7.582730659653738
Groningen,Netherlands,2020-09-20 04:22:56,53.217922,6.741514,1011,19,0,992.0,"Groningen, Netherlands",172.5650575387546,1.8793273986152323
Limburg,Netherlands,2020-09-20 04:22:56,51.209227,5.93387,5990,760,0,5230.0,"Limburg, Netherlands",536.1613532390322,12.68781302170284
Noord-Brabant,Netherlands,2020-09-20 04:22:56,51.561174,5.184942,14278,1552,0,12726.0,"Noord-Brabant, Netherlands",557.0913262230512,10.869869729654011
Noord-Holland,Netherlands,2020-09-20 04:22:56,52.60090600000001,4.918688,18087,840,0,17247.0,"Noord-Holland, Netherlands",628.1239939753995,4.644219605241333
Overijssel,Netherlands,2020-09-20 04:22:56,52.444558,6.441722,4041,314,0,3727.0,"Overijssel, Netherlands",347.6410135529238,7.7703538728037636
Sint Maarten,Netherlands,2020-09-20 04:22:56,18.0425,-63.0548,584,20,488,76.0,"Sint Maarten, Netherlands",1361.876778135348,3.424657534246576
Unknown,Netherlands,2020-09-20 04:22:56,,,792,18,0,774.0,"Unknown, Netherlands",,2.272727272727273
Utrecht,Netherlands,2020-09-20 04:22:56,52.084251,5.163824,7260,437,0,6823.0,"Utrecht, Netherlands",535.8590056051147,6.019283746556474
Zeeland,Netherlands,2020-09-20 04:22:56,51.47936,3.861559,1210,72,0,1138.0,"Zeeland, Netherlands",315.5248664886515,5.950413223140496
Zuid-Holland,Netherlands,2020-09-20 04:22:56,51.937835,4.462114,26644,1364,0,25280.0,"Zuid-Holland, Netherlands",718.4196278152752,5.119351448731422
,New Zealand,2020-09-20 04:22:56,-40.9006,174.886,1815,25,1719,71.0,New Zealand,37.638164725760866,1.3774104683195592
,Nicaragua,2020-09-20 04:22:56,12.865416,-85.207229,4961,147,2913,1901.0,Nicaragua,74.88806038866919,2.963112275750857
,Niger,2020-09-20 04:22:56,17.607789,8.081666,1183,69,1104,10.0,Niger,4.887089639386488,5.832628909551986
,Nigeria,2020-09-20 04:22:56,9.082,8.6753,57145,1095,48431,7619.0,Nigeria,27.72150698060727,1.9161781433196248
,North Macedonia,2020-09-20 04:22:56,41.6086,21.7453,16557,689,13792,2076.0,North Macedonia,794.7181983123578,4.161381892854986
,Norway,2020-09-20 04:22:56,60.472,8.4689,12858,267,10371,2220.0,Norway,237.178122651599,2.076528231451237
,Oman,2020-09-20 04:22:56,21.512583,55.92325500000001,91753,818,84648,6287.0,Oman,1796.7454806719586,0.8915239828670453
Azad Jammu and Kashmir,Pakistan,2020-09-20 04:22:56,34.027401,73.947253,2517,67,2257,193.0,"Azad Jammu and Kashmir, Pakistan",62.21933936261885,2.6618990862137464
Balochistan,Pakistan,2020-09-20 04:22:56,28.328492,65.898403,14269,145,12969,1155.0,"Balochistan, Pakistan",115.59080030407291,1.0161889410610414
Gilgit-Baltistan,Pakistan,2020-09-20 04:22:56,35.792146,74.982138,3450,81,3036,333.0,"Gilgit-Baltistan, Pakistan",340.37632796097813,2.347826086956522
Islamabad,Pakistan,2020-09-20 04:22:56,33.665087,73.121219,16124,180,15529,415.0,"Islamabad, Pakistan",803.5595034715924,1.1163483006698092
Khyber Pakhtunkhwa,Pakistan,2020-09-20 04:22:56,34.485332,72.09169,37317,1258,35500,559.0,"Khyber Pakhtunkhwa, Pakistan",122.25713863648943,3.3711177211458585
Punjab,Pakistan,2020-09-20 04:22:56,30.811346,72.13913199999998,98368,2226,94773,1369.0,"Punjab, Pakistan",89.41534085753682,2.2629310344827585
Sindh,Pakistan,2020-09-20 04:22:56,26.009446,68.77680699999999,133626,2459,128239,2928.0,"Sindh, Pakistan",279.04994713387407,1.8402107374313381
,Panama,2020-09-20 04:22:56,8.538,-80.7821,105601,2247,80190,23164.0,Panama,2447.431704323384,2.127820759273113
,Papua New Guinea,2020-09-20 04:22:56,-6.314993,143.95555,516,6,232,278.0,Papua New Guinea,5.767278896107054,1.162790697674419
,Paraguay,2020-09-20 04:22:56,-23.4425,-58.4438,33015,636,17535,14844.0,Paraguay,462.8792307918789,1.926397092230804
Amazonas,Peru,2020-09-20 04:22:56,-5.077253,-78.050172,12987,204,0,12783.0,"Amazonas, Peru",3042.8772258669164,1.5708015708015708
Ancash,Peru,2020-09-20 04:22:56,-9.407125,-77.67179499999997,21235,1248,0,19987.0,"Ancash, Peru",1798.6616974419787,5.8770897103838005
Apurimac,Peru,2020-09-20 04:22:56,-14.027713,-72.975378,4200,79,0,4121.0,"Apurimac, Peru",975.156721615974,1.880952380952381
Arequipa,Peru,2020-09-20 04:22:56,-15.843524,-72.475539,39046,1297,0,37749.0,"Arequipa, Peru",2607.586483237612,3.321723095835681
Ayacucho,Peru,2020-09-20 04:22:56,-14.091648,-74.08344,10410,286,0,10124.0,"Ayacucho, Peru",1557.9167913798265,2.7473583093179634
Cajamarca,Peru,2020-09-20 04:22:56,-6.430284,-78.74559599999998,18433,441,0,17992.0,"Cajamarca, Peru",1268.005778358671,2.392448326371181
Callao,Peru,2020-09-20 04:22:56,-11.954609,-77.136042,30730,1687,0,29043.0,"Callao, Peru",2719.7097088237892,5.489749430523918
Cusco,Peru,2020-09-20 04:22:56,-13.191068,-72.153609,19135,387,0,18748.0,"Cusco, Peru",1409.9918944808785,2.02247191011236
Huancavelica,Peru,2020-09-20 04:22:56,-13.023888,-75.00277,5997,102,0,5895.0,"Huancavelica, Peru",1641.6643854366275,1.7008504252126062
Huanuco,Peru,2020-09-20 04:22:56,-9.421676,-76.040642,14919,366,0,14553.0,"Huanuco, Peru",1962.251742733132,2.45324753669817
Ica,Peru,2020-09-20 04:22:56,-14.235097,-75.574821,25278,1546,0,23732.0,"Ica, Peru",2592.0836751435604,6.1159901890972375
Junin,Peru,2020-09-20 04:22:56,-11.541783,-74.876968,17991,723,0,17268.0,"Junin, Peru",1321.4102093279469,4.018676004669001
La Libertad,Peru,2020-09-20 04:22:56,-7.92139,-78.370238,26715,2158,0,24557.0,"La Libertad, Peru",1324.6231654105513,8.077858880778589
Lambayeque,Peru,2020-09-20 04:22:56,-6.353049,-79.824113,24711,1650,0,23061.0,"Lambayeque, Peru",1885.1846200793411,6.677188296709968
Lima,Peru,2020-09-20 04:22:56,-11.766533,-76.60449799999998,349167,14009,0,335158.0,"Lima, Peru",3285.195465023287,4.012120274825513
Loreto,Peru,2020-09-20 04:22:56,-4.124847,-74.424115,17506,940,0,16566.0,"Loreto, Peru",1703.5811599844296,5.369587569976008
Madre de Dios,Peru,2020-09-20 04:22:56,-11.972699,-70.53171999999998,7366,136,0,7230.0,"Madre de Dios, Peru",4238.204833141542,1.8463209340211784
Moquegua,Peru,2020-09-20 04:22:56,-16.860271,-70.839046,11703,253,0,11450.0,"Moquegua, Peru",6073.170731707317,2.161838844740665
Pasco,Peru,2020-09-20 04:22:56,-10.39655,-75.307635,4657,100,0,4557.0,"Pasco, Peru",1712.7620448694372,2.1473051320592647
Piura,Peru,2020-09-20 04:22:56,-5.133361,-80.335861,33299,1911,0,31388.0,"Piura, Peru",1625.927734375,5.738911078410762
Puno,Peru,2020-09-20 04:22:56,-14.995826999999998,-69.922726,11588,278,0,11310.0,"Puno, Peru",936.0258481421648,2.399033482913359
San Martin,Peru,2020-09-20 04:22:56,-7.039531,-76.729127,16297,686,0,15611.0,"San Martin, Peru",1811.5829257447754,4.20936368656808
Tacna,Peru,2020-09-20 04:22:56,-17.644160999999997,-70.27756,11012,194,0,10818.0,"Tacna, Peru",2968.194070080863,1.7617144932800581
Tumbes,Peru,2020-09-20 04:22:56,-3.857496,-80.54525500000003,6735,293,0,6442.0,"Tumbes, Peru",2677.9324055666,4.350408314773572
Ucayali,Peru,2020-09-20 04:22:56,-9.621718,-73.444929,15295,309,0,14986.0,"Ucayali, Peru",2596.3333899168224,2.0202680614579926
Unknown,Peru,2020-09-20 04:22:56,,,0,0,594513,-594513.0,"Unknown, Peru",,
,Philippines,2020-09-20 04:22:56,12.879721,121.774017,283460,4930,209885,68645.0,Philippines,258.67602971808503,1.7392224652508292
,Poland,2020-09-20 04:22:56,51.9194,19.1451,78330,2282,63861,12187.0,Poland,206.9670449965063,2.9133154602323503
,Portugal,2020-09-20 04:22:56,39.3999,-8.2245,68025,1899,45404,20722.0,Portugal,667.127142125394,2.7916207276736493
,Qatar,2020-09-20 04:22:56,25.3548,51.1839,123146,209,120089,2848.0,Qatar,4274.329587026997,0.16971724619557274
,Romania,2020-09-20 04:22:56,45.9432,24.9668,111550,4402,89119,18029.0,Romania,579.851564237313,3.946212460779919
Adygea Republic,Russia,2020-09-20 04:22:56,44.6939006,40.1520421,3775,31,3253,491.0,"Adygea Republic, Russia",832.6422219085263,0.8211920529801324
Altai Krai,Russia,2020-09-20 04:22:56,52.6932243,82.69314240000001,12914,164,11648,1102.0,"Altai Krai, Russia",549.5132080610022,1.2699396004336378
Altai Republic,Russia,2020-09-20 04:22:56,50.7114101,86.8572186,2798,12,2235,551.0,"Altai Republic, Russia",1283.1154299445573,0.4288777698355968
Amur Oblast,Russia,2020-09-20 04:22:56,52.8032368,128.437295,3959,50,3514,395.0,"Amur Oblast, Russia",495.85182810135973,1.262945188178833
Arkhangelsk Oblast,Russia,2020-09-20 04:22:56,63.5589686,43.1221646,12290,257,9799,2234.0,"Arkhangelsk Oblast, Russia",1064.0434690760744,2.09113100081367
Astrakhan Oblast,Russia,2020-09-20 04:22:56,47.1878186,47.608851,6550,94,6144,312.0,"Astrakhan Oblast, Russia",643.725786573944,1.4351145038167938
Bashkortostan Republic,Russia,2020-09-20 04:22:56,54.8573563,57.1439682,8384,33,8158,193.0,"Bashkortostan Republic, Russia",206.33510800230246,0.3936068702290077
Belgorod Oblast,Russia,2020-09-20 04:22:56,50.7080119,37.5837615,8208,57,7521,630.0,"Belgorod Oblast, Russia",529.5907543571228,0.6944444444444444
Bryansk Oblast,Russia,2020-09-20 04:22:56,52.8873315,33.41585300000001,8927,37,7288,1602.0,"Bryansk Oblast, Russia",737.1703295342128,0.41447294723871403
Buryatia Republic,Russia,2020-09-20 04:22:56,52.7182426,109.492143,6152,62,5223,867.0,"Buryatia Republic, Russia",624.878746910903,1.0078023407022108
Chechen Republic,Russia,2020-09-20 04:22:56,43.39761470000001,45.6985005,2374,40,1811,523.0,"Chechen Republic, Russia",165.20747316770368,1.6849199663016006
Chelyabinsk Oblast,Russia,2020-09-20 04:22:56,54.4223954,61.1865846,14928,122,10969,3837.0,"Chelyabinsk Oblast, Russia",427.3646192023214,0.8172561629153269
Chukotka Autonomous Okrug,Russia,2020-09-20 04:22:56,66.0006475,169.4900869,182,2,172,8.0,"Chukotka Autonomous Okrug, Russia",368.809272918862,1.0989010989010992
Chuvashia Republic,Russia,2020-09-20 04:22:56,55.4259922,47.0849429,8301,85,7047,1169.0,"Chuvashia Republic, Russia",674.2657277902912,1.0239730152993616
Dagestan Republic,Russia,2020-09-20 04:22:56,43.05749160000001,47.1332224,12514,543,10744,1227.0,"Dagestan Republic, Russia",408.4356952039648,4.3391401630174204
Ingushetia Republic,Russia,2020-09-20 04:22:56,43.11542075,45.01713552,5136,78,4408,650.0,"Ingushetia Republic, Russia",1052.3662873968071,1.5186915887850467
Irkutsk Oblast,Russia,2020-09-20 04:22:56,56.6370122,104.719221,18211,274,14815,3122.0,"Irkutsk Oblast, Russia",757.4676762908168,1.5045851408489377
Ivanovo Oblast,Russia,2020-09-20 04:22:56,56.9167446,41.43521370000001,8184,130,6708,1346.0,"Ivanovo Oblast, Russia",806.5867307415591,1.5884652981427174
Jewish Autonomous Okrug,Russia,2020-09-20 04:22:56,48.57527615,132.66307460000002,772,10,642,120.0,"Jewish Autonomous Okrug, Russia",476.50203068870593,1.2953367875647668
Kabardino-Balkarian Republic,Russia,2020-09-20 04:22:56,43.4806048,43.5978976,7191,86,6344,761.0,"Kabardino-Balkarian Republic, Russia",830.5344710496772,1.1959393686552635
Kaliningrad Oblast,Russia,2020-09-20 04:22:56,54.7293041,21.1489473,3941,67,3118,756.0,"Kaliningrad Oblast, Russia",396.2400927408937,1.7000761228114691
Kalmykia Republic,Russia,2020-09-20 04:22:56,46.2313018,45.3275745,5681,65,3332,2284.0,"Kalmykia Republic, Russia",2062.720350891207,1.1441647597254003
Kaluga Oblast,Russia,2020-09-20 04:22:56,54.4382773,35.5272854,8672,72,7367,1233.0,"Kaluga Oblast, Russia",856.8695803394279,0.8302583025830258
Kamchatka Krai,Russia,2020-09-20 04:22:56,57.1914882,160.03838190000005,4224,67,3250,907.0,"Kamchatka Krai, Russia",1338.5854219681391,1.5861742424242424
Karachay-Cherkess Republic,Russia,2020-09-20 04:22:56,43.7368326,41.7267991,6285,28,4703,1554.0,"Karachay-Cherkess Republic, Russia",1347.8302827548493,0.4455051710421639
Karelia Republic,Russia,2020-09-20 04:22:56,62.61940309999999,33.4920267,3610,16,2635,959.0,"Karelia Republic, Russia",579.9345846640235,0.443213296398892
Kemerovo Oblast,Russia,2020-09-20 04:22:56,54.53357809999999,87.342861,8323,67,6281,1975.0,"Kemerovo Oblast, Russia",308.8452645519628,0.8049981977652289
Khabarovsk Krai,Russia,2020-09-20 04:22:56,51.6312684,136.121524,11325,101,9144,2080.0,"Khabarovsk Krai, Russia",852.5922568813417,0.8918322295805741
Khakassia Republic,Russia,2020-09-20 04:22:56,53.72258845,91.44293627,3963,47,3366,550.0,"Khakassia Republic, Russia",737.2844935843412,1.1859702245773405
Khanty-Mansi Autonomous Okrug,Russia,2020-09-20 04:22:56,61.0259025,69.0982628,21077,179,20289,609.0,"Khanty-Mansi Autonomous Okrug, Russia",1375.5651029242752,0.8492669734781991
Kirov Oblast,Russia,2020-09-20 04:22:56,57.9665589,49.4074599,7769,120,5512,2137.0,"Kirov Oblast, Russia",605.4215975524414,1.5446003346634058
Komi Republic,Russia,2020-09-20 04:22:56,63.9881421,54.3326073,7432,97,6376,959.0,"Komi Republic, Russia",883.8433390060092,1.3051668460710442
Kostroma Oblast,Russia,2020-09-20 04:22:56,58.424756,44.2533273,4277,58,3148,1071.0,"Kostroma Oblast, Russia",664.8282980271216,1.3560907177928454
Krasnodar Krai,Russia,2020-09-20 04:22:56,45.7684014,39.0261044,12937,241,10164,2532.0,"Krasnodar Krai, Russia",230.876857347834,1.8628739274947823
Krasnoyarsk Krai,Russia,2020-09-20 04:22:56,63.3233807,97.0979974,18852,530,14706,3616.0,"Krasnoyarsk Krai, Russia",655.3804853611875,2.8113727986420542
Kurgan Oblast,Russia,2020-09-20 04:22:56,55.7655302,64.5632681,3472,26,2973,473.0,"Kurgan Oblast, Russia",410.62661953291223,0.7488479262672811
Kursk Oblast,Russia,2020-09-20 04:22:56,51.6568453,36.4852695,7682,56,6483,1143.0,"Kursk Oblast, Russia",688.8221965375969,0.7289768289507941
Leningrad Oblast,Russia,2020-09-20 04:22:56,60.1853296,32.3925325,7519,91,5358,2070.0,"Leningrad Oblast, Russia",414.5403943950213,1.2102673227822849
Lipetsk Oblast,Russia,2020-09-20 04:22:56,52.6935178,39.1122664,5715,37,5113,565.0,"Lipetsk Oblast, Russia",496.86967756070464,0.647419072615923
Magadan Oblast,Russia,2020-09-20 04:22:56,62.48858785,153.9903764,2522,23,1971,528.0,"Magadan Oblast, Russia",1750.2828073925505,0.9119746233148296
Mari El Republic,Russia,2020-09-20 04:22:56,56.5767504,47.8817512,4612,47,4075,490.0,"Mari El Republic, Russia",675.9163047954593,1.0190806591500434
Mordovia Republic,Russia,2020-09-20 04:22:56,54.4419829,44.4661144,6057,40,5025,992.0,"Mordovia Republic, Russia",752.3700214643452,0.6603929337956084
Moscow,Russia,2020-09-20 04:22:56,55.7504461,37.6174943,275633,5044,236055,34534.0,"Moscow, Russia",2203.9236017714998,1.8299695609741944
Moscow Oblast,Russia,2020-09-20 04:22:56,55.50431579999999,38.0353929,71348,1278,54355,15715.0,"Moscow Oblast, Russia",950.8775039532158,1.7912204967203005
Murmansk Oblast,Russia,2020-09-20 04:22:56,68.00004179999999,33.9999151,14138,194,11694,2250.0,"Murmansk Oblast, Russia",1876.1686242712894,1.37218842834913
Nenets Autonomous Okrug,Russia,2020-09-20 04:22:56,68.27557185,57.1686375,324,0,114,210.0,"Nenets Autonomous Okrug, Russia",736.413846398618,0.0
Nizhny Novgorod Oblast,Russia,2020-09-20 04:22:56,55.47180329999999,44.0911594,30599,543,27156,2900.0,"Nizhny Novgorod Oblast, Russia",945.9457788417784,1.7745677963332136
North Ossetia - Alania Republic,Russia,2020-09-20 04:22:56,42.79336110000001,44.6324493,5440,68,4607,765.0,"North Ossetia - Alania Republic, Russia",775.1882752773364,1.25
Novgorod Oblast,Russia,2020-09-20 04:22:56,58.2843833,32.5169757,4832,86,3539,1207.0,"Novgorod Oblast, Russia",796.7339185722107,1.7798013245033113
Novosibirsk Oblast,Russia,2020-09-20 04:22:56,54.9720169,79.48139240000002,12410,410,11289,711.0,"Novosibirsk Oblast, Russia",444.9864442284252,3.30378726833199
Omsk Oblast,Russia,2020-09-20 04:22:56,56.09352629999999,73.5099936,10190,261,8917,1012.0,"Omsk Oblast, Russia",519.8764744926358,2.561334641805692
Orel Oblast,Russia,2020-09-20 04:22:56,52.96854329999999,36.0692477,7975,122,6365,1488.0,"Orel Oblast, Russia",1067.2508554734914,1.5297805642633229
Orenburg Oblast,Russia,2020-09-20 04:22:56,52.02692620000001,54.7276647,11729,82,10667,980.0,"Orenburg Oblast, Russia",593.0566510931781,0.6991218347685225
Penza Oblast,Russia,2020-09-20 04:22:56,53.1655415,44.78791810000001,9875,122,8479,1274.0,"Penza Oblast, Russia",741.5584366821738,1.2354430379746837
Perm Krai,Russia,2020-09-20 04:22:56,58.5951603,56.3159546,9012,248,6244,2520.0,"Perm Krai, Russia",343.56007841038274,2.7518863737239236
Primorsky Krai,Russia,2020-09-20 04:22:56,45.0819456,134.726645,10985,113,9419,1453.0,"Primorsky Krai, Russia",574.2178536013679,1.028675466545289
Pskov Oblast,Russia,2020-09-20 04:22:56,57.5358729,28.8586826,5091,65,3887,1139.0,"Pskov Oblast, Russia",799.7850901584488,1.2767629149479474
Rostov Oblast,Russia,2020-09-20 04:22:56,47.6222451,40.7957942,19885,436,16054,3395.0,"Rostov Oblast, Russia",471.15806553421294,2.19260749308524
Ryazan Oblast,Russia,2020-09-20 04:22:56,54.42267320000001,40.57052460000001,7747,47,6565,1135.0,"Ryazan Oblast, Russia",690.7873031385478,0.6066864592745579
Saint Petersburg,Russia,2020-09-20 04:22:56,59.9606739,30.158655100000004,40517,2762,27717,10038.0,"Saint Petersburg, Russia",757.0532900717218,6.816891675099341
Sakha (Yakutiya) Republic,Russia,2020-09-20 04:22:56,66.941626,129.642371,8536,93,6632,1811.0,"Sakha (Yakutiya) Republic, Russia",885.174162371802,1.0895032802249298
Sakhalin Oblast,Russia,2020-09-20 04:22:56,49.7219665,143.448533,5206,0,3679,1527.0,"Sakhalin Oblast, Russia",1062.0566688631343,0.0
Samara Oblast,Russia,2020-09-20 04:22:56,53.2128813,50.8914633,10550,172,8210,2168.0,"Samara Oblast, Russia",330.3570925319257,1.6303317535545023
Saratov Oblast,Russia,2020-09-20 04:22:56,51.6520555,46.86319520000001,14332,93,9477,4762.0,"Saratov Oblast, Russia",581.9038145313548,0.6488975718671505
Smolensk Oblast,Russia,2020-09-20 04:22:56,55.03434960000001,33.0192065,6408,137,5627,644.0,"Smolensk Oblast, Russia",674.9895717903235,2.137952559300874
Stavropol Krai,Russia,2020-09-20 04:22:56,44.86325770000001,43.4406913,14487,287,10225,3975.0,"Stavropol Krai, Russia",517.268343263086,1.9810864913370607
Sverdlovsk Oblast,Russia,2020-09-20 04:22:56,58.6414755,61.8021546,27679,567,21087,6025.0,"Sverdlovsk Oblast, Russia",639.9390001424193,2.0484844105639652
Tambov Oblast,Russia,2020-09-20 04:22:56,52.9019574,41.3578918,7288,46,6392,850.0,"Tambov Oblast, Russia",705.1411056241002,0.6311745334796927
Tatarstan Republic,Russia,2020-09-20 04:22:56,55.7648572,52.43104273,6974,45,5898,1031.0,"Tatarstan Republic, Russia",179.08298418913463,0.6452537998279323
Tomsk Oblast,Russia,2020-09-20 04:22:56,58.6124279,82.04753149999998,6713,78,5462,1173.0,"Tomsk Oblast, Russia",622.5655673850947,1.1619246238641443
Tula Oblast,Russia,2020-09-20 04:22:56,53.9570701,37.3690909,9808,356,8801,651.0,"Tula Oblast, Russia",657.4365471175147,3.6296900489396413
Tver Oblast,Russia,2020-09-20 04:22:56,57.1134475,35.174442799999994,5862,227,4416,1219.0,"Tver Oblast, Russia",456.58721695993296,3.872398498805868
Tyumen Oblast,Russia,2020-09-20 04:22:56,58.8206488,70.36588370000001,8754,36,7402,1316.0,"Tyumen Oblast, Russia",237.081572960676,0.4112405757368061
Tyva Republic,Russia,2020-09-20 04:22:56,51.4017149,93.8582593,7321,71,6609,641.0,"Tyva Republic, Russia",2275.5671045188087,0.9698128670946592
Udmurt Republic,Russia,2020-09-20 04:22:56,57.1961165,52.69598320000001,4245,62,3261,922.0,"Udmurt Republic, Russia",280.5602480826731,1.4605418138987043
Ulyanovsk Oblast,Russia,2020-09-20 04:22:56,54.1463177,47.2324921,14154,140,12136,1878.0,"Ulyanovsk Oblast, Russia",1135.3919163689275,0.9891196834817012
Vladimir Oblast,Russia,2020-09-20 04:22:56,56.0503336,40.6561633,6906,201,5774,931.0,"Vladimir Oblast, Russia",501.03857039316216,2.9105125977410946
Volgograd Oblast,Russia,2020-09-20 04:22:56,49.6048339,44.29035820000001,13965,130,12334,1501.0,"Volgograd Oblast, Russia",553.8862068254329,0.9308986752595776
Vologda Oblast,Russia,2020-09-20 04:22:56,60.0391461,43.1215213,4124,45,3523,556.0,"Vologda Oblast, Russia",350.47493432844186,1.0911736178467508
Voronezh Oblast,Russia,2020-09-20 04:22:56,50.9800393,40.15065070000001,16256,153,15125,978.0,"Voronezh Oblast, Russia",696.5559558619368,0.9411909448818898
Yamalo-Nenets Autonomous Okrug,Russia,2020-09-20 04:22:56,67.1471631,74.3415488,14398,98,13259,1041.0,"Yamalo-Nenets Autonomous Okrug, Russia",2673.48996466418,0.6806500902903181
Yaroslavl Oblast,Russia,2020-09-20 04:22:56,57.77819760000001,39.0021095,8041,45,7659,337.0,"Yaroslavl Oblast, Russia",635.3086552409608,0.5596318865812709
Zabaykalsky Krai,Russia,2020-09-20 04:22:56,52.248521,115.956325,5481,65,4602,814.0,"Zabaykalsky Krai, Russia",510.9031828681048,1.1859149790184274
,Rwanda,2020-09-20 04:22:56,-1.9403,29.8739,4689,26,2910,1753.0,Rwanda,36.20231884769617,0.5544892301130305
,Saint Kitts and Nevis,2020-09-20 04:22:56,17.357822,-62.782998,17,0,17,0.0,Saint Kitts and Nevis,31.959693186945405,0.0
,Saint Lucia,2020-09-20 04:22:56,13.9094,-60.9789,27,0,26,1.0,Saint Lucia,14.70355989522352,0.0
,Saint Vincent and the Grenadines,2020-09-20 04:22:56,12.9843,-61.2872,64,0,64,0.0,Saint Vincent and the Grenadines,57.68520104193895,0.0
,San Marino,2020-09-20 04:22:56,43.9424,12.4578,723,42,669,12.0,San Marino,2130.355353880606,5.809128630705394
,Sao Tome and Principe,2020-09-20 04:22:56,0.1864,6.6131,908,15,876,17.0,Sao Tome and Principe,414.30729007442017,1.6519823788546255
,Saudi Arabia,2020-09-20 04:22:56,23.885942,45.079162,329271,4458,309430,15383.0,Saudi Arabia,945.8041532703046,1.353899979044617
,Senegal,2020-09-20 04:22:56,14.4974,-14.4524,14688,302,11153,3233.0,Senegal,87.72134140551232,2.056100217864924
,Serbia,2020-09-20 04:22:56,44.0165,21.0059,32840,740,0,32100.0,Serbia,375.8568081699642,2.2533495736906213
,Seychelles,2020-09-20 04:22:56,-4.6796,55.492,141,0,136,5.0,Seychelles,143.38010982306284,0.0
,Sierra Leone,2020-09-20 04:22:56,8.460555000000001,-11.779889,2159,72,1650,437.0,Sierra Leone,27.065363668102673,3.33487725798981
,Singapore,2020-09-20 04:22:56,1.2833,103.8333,57558,27,57142,389.0,Singapore,983.8397509342616,0.046909204628374855
,Slovakia,2020-09-20 04:22:56,48.669,19.699,6546,39,3519,2988.0,Slovakia,119.89794937141492,0.5957836846929423
,Slovenia,2020-09-20 04:22:56,46.1512,14.9955,4309,141,2981,1187.0,Slovenia,207.2698866533393,3.2722209329310745
,Somalia,2020-09-20 04:22:56,5.152149,46.199616,3401,98,2812,491.0,Somalia,21.399063336382643,2.881505439576596
,South Africa,2020-09-20 04:22:56,-30.5595,22.9375,659656,15940,589434,54282.0,South Africa,1112.2417305120043,2.4164109778429967
,South Sudan,2020-09-20 04:22:56,6.877000000000002,31.307,2642,49,1290,1303.0,South Sudan,23.602501007483745,1.854655563966692
Andalusia,Spain,2020-09-20 04:22:56,37.5443,-4.7278,47612,1662,10671,35279.0,"Andalusia, Spain",564.9663211866524,3.490716626060657
Aragon,Spain,2020-09-20 04:22:56,41.5976,-0.9057,32266,1302,3772,27192.0,"Aragon, Spain",2443.3092581626643,4.035207338994606
Asturias,Spain,2020-09-20 04:22:56,43.3614,-5.8593,4340,341,1063,2936.0,"Asturias, Spain",424.57237051276405,7.857142857142858
Baleares,Spain,2020-09-20 04:22:56,39.710358,2.995148,12059,270,1533,10256.0,"Baleares, Spain",1014.8793994378143,2.238991624512812
C. Valenciana,Spain,2020-09-20 04:22:56,39.484,-0.7533,34370,1541,9970,22859.0,"C. Valenciana, Spain",690.8585762041936,4.48356124527204
Canarias,Spain,2020-09-20 04:22:56,28.2916,-16.6291,11479,209,1537,9733.0,"Canarias, Spain",520.1411390905165,1.820716090251764
Cantabria,Spain,2020-09-20 04:22:56,43.1828,-3.9878,6058,231,2287,3540.0,"Cantabria, Spain",1041.5359302387556,3.8131396500495214
Castilla - La Mancha,Spain,2020-09-20 04:22:56,39.2796,-3.0977,34835,3065,6392,25378.0,"Castilla - La Mancha, Spain",1711.8970827229361,8.798622075498779
Castilla y Leon,Spain,2020-09-20 04:22:56,41.8357,-4.3976,38872,2931,8716,27225.0,"Castilla y Leon, Spain",1614.46472677826,7.540131714344517
Catalonia,Spain,2020-09-20 04:22:56,41.5912,1.5209,128901,5797,26203,96901.0,"Catalonia, Spain",1703.5905038980732,4.497249827386909
Ceuta,Spain,2020-09-20 04:22:56,35.8894,-5.3213,441,9,163,269.0,"Ceuta, Spain",519.8693842907496,2.0408163265306123
